Sample in Buffer,Sample in Window,TRIGGER,data/adc_F_data_package/state23[3:0],data/adc_F_data_package/next_state23[3:0],data/adc_F_data_package/adc_data[11:0],data/adc_F_data_package/fifo1[11:0],data/adc_F_data_package/data_fifo2_out[11:0],data/adc_F_data_package/data_fifo3_in[3:0],data/adc_F_data_package/rd_fifo2,data/adc_F_data_package/data_cnt_fifo2[7:0],data/adc_F_data_package/data_cnt_fifo2_use[7:0],data/adc_F_data_package/cnt23[11:0],data/adc_F_data_package/rd_fifo1_1,data/adc_F_data_package/rd_fifo1,data/adc_F_data_package/clk_125m,data/adc_F_data_package/full,data/adc_F_data_package/empty,data/adc_F_data_package/wr_rst_busy,data/adc_F_data_package/rd_rst_busy,data/adc_F_data_package/wr_fifo3,data/adc_F_data_package/fifo23_end,data/adc_F_data_package/rd_fifo3,data/adc_F_data_package/data_cnt_fifo3[9:0],data/adc_F_data_package/data_fifo3_out[3:0],data/adc_F_data_package/full3,data/adc_F_data_package/empty3
154,154,0,0,0,2015,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
155,155,0,0,0,2016,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
156,156,0,0,0,2017,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
157,157,0,0,0,2017,7dd,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
158,158,0,0,0,2016,7e3,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
159,159,0,0,0,2017,7de,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
160,160,0,0,0,2017,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
161,161,0,0,0,2017,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
162,162,0,0,0,2017,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
163,163,0,0,0,2018,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
164,164,0,0,0,2018,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
165,165,0,0,0,2017,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
166,166,0,0,0,2017,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
167,167,0,0,0,2018,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
168,168,0,0,0,2018,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
169,169,0,0,0,2018,7df,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
170,170,0,0,0,2017,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
171,171,0,0,0,2018,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
172,172,0,0,0,2018,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
173,173,0,0,0,2017,7e0,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
174,174,0,0,0,2018,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
175,175,0,0,0,2018,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
176,176,0,0,0,2017,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
177,177,0,0,0,2017,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
178,178,0,0,0,2015,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
179,179,0,0,0,2014,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
180,180,0,0,0,2014,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
181,181,0,0,0,2014,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
182,182,0,0,0,2014,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
183,183,0,0,0,2014,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
184,184,0,0,0,2017,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
185,185,0,0,0,2014,7e1,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
186,186,0,0,0,2017,7e2,7c3,0,0,68,00,000,0,0,1,0,0,0,0,0,1,0,000,4,0,1
