Sample in Buffer,Sample in Window,TRIGGER,data/wr_en_fifo4,data/data_fifo4_in[3:0],data/rd_en_fifo4,data/data_fifo4_out[3:0],data/state34[3:0],data/next_state34[3:0],data/fifo34_start,data/cnt34[13:0],data/trigger,data/rd_en_ttt,data/ttt_out[63:0],data/pre_start,data/data_cnt[12:0],data/cnt_ch[3:0],data/adc_A_rd_fifo3,data/adc_A_data_cnt_fifo3[12:0],data/data_cnt_tem[12:0],data/sd_wr_start,data/event_cnt[63:0],data/full2F,data/led[3:0],data/ttt[63:0],data/ttt_cnt[4:0],data/rd_en_fifo5,data/data_length_fifo5[15:0],data/data_fifo5_out[3:0],data/rd_rst_busy,data/wr_rst_busy,data/full5,data/empty5
113,113,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a30,1f,0,6839,d,0,0,0,1
114,114,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a38,1f,0,6839,d,0,0,0,1
115,115,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a40,1f,0,6839,d,0,0,0,1
116,116,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a48,1f,0,6839,d,0,0,0,1
117,117,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a50,1f,0,6839,d,0,0,0,1
118,118,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a58,1f,0,6839,d,0,0,0,1
119,119,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a60,1f,0,6839,d,0,0,0,1
120,120,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a68,1f,0,6839,d,0,0,0,1
121,121,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a70,1f,0,6839,d,0,0,0,1
122,122,0,0,d,0,d,0,0,1,0000,0,0,000002a71f567228,0,01dc,0,0,0000,01db,0,0000000000003b2c,0,0,000002a8f5ba8a78,1f,0,6839,d,0,0,0,1
